Item,Bin
Banana,Compostables
Apple,Compostables
Paper Cups,Compostables
Orange,Compostables
Newspaper,Mixed Paper
Cardboard,Mixed Paper
Plastic Container,Recyclables
Milk Cartoon,Recyclables
Styrofoam,Landfill
Plastic Cutlery,Landfill
